有價證券代號及名稱,類別,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
6291, 沛亨,股票 ,TW0006291008,2004/1/28,上櫃,半導體業,ESVUFR,
6292, 迅德,股票 ,TW0006292006,2003/11/26,上櫃,電子零組件業,ESVUFR,
6294, 智基,股票 ,TW0006294002,2004/1/13,上櫃,其他業,ESVUFR,
6298, 崴強,股票 ,TW0006298003,2006/3/15,上櫃,電腦及週邊設備業,ESVUFR,
6404, 通訊-KY,股票 ,KYG211281061,2014/7/23,上櫃,資訊服務業,ESVUFR,
6411, 晶焱,股票 ,TW0006411002,2014/3/11,上櫃,半導體業,ESVUFR,
6417, 韋僑,股票 ,TW0006417009,2015/10/8,上櫃,通信網路業,ESVUFR,
6419, 京晨科,股票 ,TW0006419005,2014/12/29,上櫃,光電業,ESVUFR,
6426, 統新,股票 ,TW0006426000,2014/12/17,上櫃,通信網路業,ESVUFR,
6432, 今展科,股票 ,TW0006432008,2015/5/20,上櫃,電子零組件業,ESVUFR,
6435, 大中,股票 ,TW0006435001,2016/1/7,上櫃,半導體業,ESVUFR,
6438, 迅得,股票 ,TW0006438005,2017/4/25,上櫃,其他電子業,ESVUFR,
6441, 廣錠,股票 ,TW0006441009,2017/9/27,上櫃,電腦及週邊設備業,ESVUFR,
6446, 藥華藥,股票 ,TW0006446008,2016/7/19,上櫃,生技醫療業,ESVUFR,
6457, 紘康,股票 ,TW0006457005,2015/6/12,上櫃,半導體業,ESVUFR,
6462, 神盾,股票 ,TW0006462005,2015/12/23,上櫃,半導體業,ESVUFR,
6465, 威潤,股票 ,TW0006465008,2015/11/20,上櫃,通信網路業,ESVUFR,
6469, 大樹,股票 ,TW0006469000,2016/3/30,上櫃,生技醫療業,ESVUFR,
6470, 宇智,股票 ,TW0006470008,2015/11/3,上櫃,通信網路業,ESVUFR,
6472, 保瑞,股票 ,TW0006472004,2017/4/19,上櫃,生技醫療業,ESVUFR,
6482, 弘煜科,股票 ,TW0006482003,2016/6/13,上櫃,文化創意業,ESVUFR,
6485, 點序,股票 ,TW0006485006,2015/11/17,上櫃,半導體業,ESVUFR,
6486, 互動,股票 ,TW0006486004,2016/9/13,上櫃,通信網路業,ESVUFR,
6488, 環球晶,股票 ,TW0006488000,2015/9/25,上櫃,半導體業,ESVUFR,
6492, 生華科,股票 ,TW0006492002,2017/4/24,上櫃,生技醫療業,ESVUFR,
6494, 九齊,股票 ,TW0006494008,2016/5/9,上櫃,半導體業,ESVUFR,
6496, 科懋,股票 ,TW0006496003,2016/1/7,上櫃,生技醫療業,ESVUFR,
6497,  亞獅康-KY,股票 ,KYG054241099,2017/6/1,上櫃,生技醫療業,ESVUFR,
6499, 益安,股票 ,TW0006499007,2016/7/27,上櫃,生技醫療業,ESVUFR,
6506, 雙邦,股票 ,TW0006506009,2011/5/3,上櫃,化學工業,ESVUFR,
6508, 惠光,股票 ,TW0006508005,2004/3/22,上櫃,塑膠工業,ESVUFR,
6509, 聚和,股票 ,TW0006509003,2004/4/12,上櫃,化學工業,ESVUFR,
6510, 精測,股票 ,TW0006510001,2016/3/24,上櫃,半導體業,ESVUFR,
6512, 啟發電,股票 ,TW0006512007,2016/3/25,上櫃,其他電子業,ESVUFR,
6514, 芮特-KY,股票 ,KYG734231080,2015/12/2,上櫃,通信網路業,ESVUFR,
6523, 達爾膚,股票 ,TW0006523004,2016/6/16,上櫃,生技醫療業,ESVUFR,
6530, 創威,股票 ,TW0006530009,2018/1/23,上櫃,通信網路業,ESVUFR,
6532, 瑞耘,股票 ,TW0006532005,2016/9/26,上櫃,半導體業,ESVUFR,
6535, 順藥,股票 ,TW0006535008,2016/9/26,上櫃,生技醫療業,ESVUFR,
6538, 倉和,股票 ,TW0006538002,2016/10/21,上櫃,電子零組件業,ESVUFR,
6542, 隆中,股票 ,TW0006542004,2016/9/8,上櫃,文化創意業,ESVUFR,
6548, 長華科,股票 ,TW0006548001,2016/9/13,上櫃,光電業,ESVUFR,
6554, 中美冠科-KY,股票 ,KYG2568J1013,2016/12/12,上櫃,生技醫療業,ESVUFR,
6556, 勝品,股票 ,TW0006556004,2017/10/31,上櫃,光電業,ESVUFR,
6560, 欣普羅,股票 ,TW0006560006,2017/1/24,上櫃,光電業,ESVUFR,
6568, 宏觀,股票 ,TW0006568009,2016/12/28,上櫃,半導體業,ESVUFR,
6569, 醫揚,股票 ,TW0006569007,2016/12/21,上櫃,生技醫療業,ESVUFR,
6570, 維田,股票 ,TW0006570005,2017/12/11,上櫃,電腦及週邊設備業,ESVUFR,
6574, 霈方,股票 ,TW0006574007,2017/9/4,上櫃,生技醫療業,ESVUFR,
6577, 勁豐,股票 ,TW0006577000,2017/3/21,上櫃,電腦及週邊設備業,ESVUFR,
6593, 台灣銘板,股票 ,TW0006593007,2017/11/3,上櫃,資訊服務業,ESVUFR,
6594, 展匯科,股票 ,TW0006594005,2017/4/28,上櫃,半導體業,ESVUFR,
6596, 寬宏藝術,股票 ,TW0006596000,2018/1/4,上櫃,文化創意業,ESVUFR,
6603, 富強鑫,股票 ,TW0006603004,2004/4/5,上櫃,電機機械,ESVUFR,
6609, 瀧澤科,股票 ,TW0006609001,2003/9/23,上櫃,電機機械,ESVUFR,
6613, 朋億,股票 ,TW0006613003,2017/12/28,上櫃,其他電子業,ESVUFR,
6615, 慧智,股票 ,TW0006615008,2018/1/22,上櫃,生技醫療業,ESVUFR,
6616, 特昇-KY,股票 ,KYG870931030,2018/1/10,上櫃,其他業,ESVUFR,
6803, 崑鼎,股票 ,TW0006803000,2010/5/27,上櫃,其他業,ESVUFR,
7402, 邑錡,股票 ,TW0007402000,2015/12/29,上櫃,光電業,ESVUFR,
8024, 佑華,股票 ,TW0008024001,2006/9/25,上櫃,半導體業,ESVUFR,
8027, 鈦昇,股票 ,TW0008027004,2015/6/9,上櫃,電機機械,ESVUFR,
8032, 光菱,股票 ,TW0008032004,2003/10/2,上櫃,電子通路業,ESVUFR,
8034, 榮群,股票 ,TW0008034000,2004/5/6,上櫃,通信網路業,ESVUFR,
8038, 長園科,股票 ,TW0008038001,2013/11/21,上櫃,電子零組件業,ESVUFR,
8040, 九暘,股票 ,TW0008040007,2007/4/30,上櫃,半導體業,ESVUFR,
8042, 金山電,股票 ,TW0008042003,2004/3/22,上櫃,電子零組件業,ESVUFR,
8043, 蜜望實,股票 ,TW0008043001,2003/10/24,上櫃,電子零組件業,ESVUFR,
8044, 網家,股票 ,TW0008044009,2005/1/24,上櫃,資訊服務業,ESVUFR,
8047, 星雲,股票 ,TW0008047002,2004/2/9,上櫃,其他電子業,ESVUFR,
8048, 德勝,股票 ,TW0008048000,2009/9/8,上櫃,通信網路業,ESVUFR,
8049, 晶采,股票 ,TW0008049008,2004/2/2,上櫃,光電業,ESVUFR,
8050, 廣積,股票 ,TW0008050006,2003/10/24,上櫃,電腦及週邊設備業,ESVUFR,
8054, 安國,股票 ,TW0008054008,2004/11/8,上櫃,半導體業,ESVUFR,
8059, 凱碩,股票 ,TW0008059007,2010/3/16,上櫃,通信網路業,ESVUFR,
8064, 東捷,股票 ,TW0008064007,2006/9/25,上櫃,光電業,ESVUFR,
8066, 來思達,股票 ,TW0008066002,2004/12/24,上櫃,貿易百貨業,ESVUFR,
8067, 志旭,股票 ,TW0008067000,2004/4/23,上櫃,電子通路業,ESVUFR,
8068, 全達,股票 ,TW0008068008,2004/3/25,上櫃,電子通路業,ESVUFR,
8069, 元太,股票 ,TW0008069006,2004/3/30,上櫃,光電業,ESVUFR,
8071, 能率網通,股票 ,TW0008071002,2003/12/29,上櫃,電子零組件業,ESVUFR,
8074, 鉅橡,股票 ,TW0008074006,2004/1/27,上櫃,電子零組件業,ESVUFR,
8076, 伍豐,股票 ,TW0008076001,2003/12/15,上櫃,電腦及週邊設備業,ESVUFR,
8077, 洛碁,股票 ,TW0008077009,2004/12/6,上櫃,觀光事業,ESVUFR,
8080, 奧斯特,股票 ,TW0008080003,2004/5/10,上櫃,電子零組件業,ESVUFR,
8083, 瑞穎,股票 ,TW0008083007,2004/9/23,上櫃,電機機械,ESVUFR,
8084, 巨虹,股票 ,TW0008084005,2004/3/8,上櫃,電子通路業,ESVUFR,
8085, 福華,股票 ,TW0008085002,2004/3/1,上櫃,其他電子業,ESVUFR,
8086, 宏捷科,股票 ,TW0008086000,2009/6/1,上櫃,半導體業,ESVUFR,
8087, 華鎂鑫,股票 ,TW0008087008,2004/2/25,上櫃,光電業,ESVUFR,
8088, 品安,股票 ,TW0008088006,2004/2/27,上櫃,半導體業,ESVUFR,
8091, 翔名,股票 ,TW0008091000,2004/6/24,上櫃,電子零組件業,ESVUFR,
8092, 建暐,股票 ,TW0008092008,2004/2/2,上櫃,其他電子業,ESVUFR,
8093, 保銳,股票 ,TW0008093006,2004/12/31,上櫃,電子零組件業,ESVUFR,
8096, 擎亞,股票 ,TW0008096009,2004/7/15,上櫃,電子通路業,ESVUFR,
8097, 常珵,股票 ,TW0008097007,2004/3/1,上櫃,通信網路業,ESVUFR,
8099, 大世科,股票 ,TW0008099003,2004/3/29,上櫃,資訊服務業,ESVUFR,
8107, 大億金茂,股票 ,TW0008107004,2005/11/15,上櫃,電機機械,ESVUFR,
8109, 博大,股票 ,TW0008109000,2005/3/22,上櫃,電子零組件業,ESVUFR,
8111, 立碁,股票 ,TW0008111006,2004/2/9,上櫃,光電業,ESVUFR,
8121, 越峰,股票 ,TW0008121005,2005/2/17,上櫃,電子零組件業,ESVUFR,
8147, 正淩,股票 ,TW0008147000,2013/4/30,上櫃,電子零組件業,ESVUFR,
8155, 博智,股票 ,TW0008155003,2012/12/18,上櫃,電子零組件業,ESVUFR,
8171, 天宇,股票 ,TW0008171000,2011/12/19,上櫃,通信網路業,ESVUFR,
8176, 智捷,股票 ,TW0008176009,2013/6/25,上櫃,通信網路業,ESVUFR,
8182, 加高,股票 ,TW0008182007,2006/5/25,上櫃,電子零組件業,ESVUFR,
8183, 精星,股票 ,TW0008183005,2005/3/30,上櫃,其他電子業,ESVUFR,
8234, 新漢,股票 ,TW0008234006,2007/6/7,上櫃,電腦及週邊設備業,ESVUFR,
8240, 華宏,股票 ,TW0008240003,2005/6/23,上櫃,光電業,ESVUFR,
8255, 朋程,股票 ,TW0008255001,2006/4/25,上櫃,電機機械,ESVUFR,
8277, 商丞,股票 ,TW0008277005,2004/12/27,上櫃,半導體業,ESVUFR,
8279, 生展,股票 ,TW0008279001,2016/9/26,上櫃,生技醫療業,ESVUFR,
8287, 英格爾,股票 ,TW0008287004,2005/1/3,上櫃,電子零組件業,ESVUFR,
8289, 泰藝,股票 ,TW0008289000,2008/4/24,上櫃,電子零組件業,ESVUFR,
8291, 尚茂,股票 ,TW0008291006,2011/11/29,上櫃,電子零組件業,ESVUFR,
8299, 群聯,股票 ,TW0008299009,2004/12/6,上櫃,電腦及週邊設備業,ESVUFR,
8342, 益張,股票 ,TW0008342007,2017/11/23,上櫃,其他業,ESVUFR,
8349, 恒耀,股票 ,TW0008349002,2006/3/10,上櫃,鋼鐵工業,ESVUFR,
8354, 冠好,股票 ,TW0008354002,2004/4/15,上櫃,塑膠工業,ESVUFR,
8358, 金居,股票 ,TW0008358003,2010/9/27,上櫃,電子零組件業,ESVUFR,
8383, 千附,股票 ,TW0008383001,2004/9/10,上櫃,其他電子業,ESVUFR,
8390, 金益鼎,股票 ,TW0008390006,2008/5/21,上櫃,其他業,ESVUFR,
8401, 白紗科,股票 ,TW0008401001,2010/3/29,上櫃,其他業,ESVUFR,
8403, 盛弘,股票 ,TW0008403007,2011/3/1,上櫃,生技醫療業,ESVUFR,
8406, 金可-KY,股票 ,KYG390101064,2012/4/27,上櫃,生技醫療業,ESVUFR,
8409, 商之器,股票 ,TW0008409004,2013/11/25,上櫃,生技醫療業,ESVUFR,
8410, 森田,股票 ,TW0008410002,2011/2/23,上櫃,電腦及週邊設備業,ESVUFR,
8415, 大國鋼,股票 ,TW0008415001,2016/9/7,上櫃,鋼鐵工業,ESVUFR,
8416, 實威,股票 ,TW0008416009,2012/9/19,上櫃,資訊服務業,ESVUFR,
8418, 捷必勝-KY,股票 ,KYG520981039,2011/12/6,上櫃,其他業,ESVUFR,
8420, 明揚,股票 ,TW0008420001,2014/11/10,上櫃,其他業,ESVUFR,
8421, 旭源,股票 ,TW0008421009,2012/11/23,上櫃,其他業,ESVUFR,
8423, 保綠-KY,股票 ,KYG715991074,2012/3/14,上櫃,其他業,ESVUFR,
8424, 惠普,股票 ,TW0008424003,2012/12/18,上櫃,建材營造業,ESVUFR,
8426, 紅木-KY,股票 ,KYG7457N1051,2011/12/13,上櫃,其他業,ESVUFR,
8431, 匯鑽科,股票 ,TW0008431008,2015/3/30,上櫃,其他電子業,ESVUFR,
8432, 東生華,股票 ,TW0008432006,2012/4/30,上櫃,生技醫療業,ESVUFR,
8433, 弘帆,股票 ,TW0008433004,2012/12/19,上櫃,貿易百貨業,ESVUFR,
8435, 鉅邁,股票 ,TW0008435009,2012/12/28,上櫃,其他業,ESVUFR,
8436, 大江,股票 ,TW0008436007,2013/9/12,上櫃,生技醫療業,ESVUFR,
8437, 大地-KY,股票 ,KYG2615N1051,2015/5/6,上櫃,其他業,ESVUFR,
8444, 綠河-KY,股票 ,KYG409691006,2015/10/27,上櫃,其他業,ESVUFR,
8446, 華研,股票 ,TW0008446006,2013/12/19,上櫃,其他業,ESVUFR,
8450, 霹靂,股票 ,TW0008450008,2014/10/7,上櫃,文化創意業,ESVUFR,
8455, 大拓-KY,股票 ,KYG264101034,2016/1/8,上櫃,其他電子業,ESVUFR,
8462, 柏文,股票 ,TW0008462003,2016/3/10,上櫃,觀光事業,ESVUFR,
8472, 夠麻吉,股票 ,TW0008472002,2016/1/11,上櫃,資訊服務業,ESVUFR,
8476, 台境,股票 ,TW0008476003,2017/3/28,上櫃,其他業,ESVUFR,
8477, 創業家,股票 ,TW0008477001,2016/10/31,上櫃,資訊服務業,ESVUFR,
8489, 三貝德,股票 ,TW0008489006,2017/4/27,上櫃,文化創意業,ESVUFR,
8905, 裕國,股票 ,TW0008905001,1996/1/31,上櫃,其他業,ESVUFR,
8906, 花王,股票 ,TW0008906009,1996/4/23,上櫃,其他業,ESVUFR,
8908, 欣雄,股票 ,TW0008908005,1997/2/14,上櫃,油電燃氣業,ESVUFR,
8913, 全銓,股票 ,TW0008913005,1998/6/10,上櫃,其他業,ESVUFR,
8916, 光隆,股票 ,TW0008916008,1999/4/20,上櫃,其他業,ESVUFR,
8917, 欣泰,股票 ,TW0008917006,1999/5/6,上櫃,油電燃氣業,ESVUFR,
8921, 沈氏,股票 ,TW0008921008,2000/3/21,上櫃,其他業,ESVUFR,
8923, 時報,股票 ,TW0008923004,1999/12/27,上櫃,其他業,ESVUFR,
8924, 大田,股票 ,TW0008924002,2000/2/9,上櫃,其他業,ESVUFR,
8927, 北基,股票 ,TW0008927005,2000/11/2,上櫃,油電燃氣業,ESVUFR,
8928, 鉅明,股票 ,TW0008928003,2001/2/2,上櫃,其他業,ESVUFR,
8929, 富堡,股票 ,TW0008929001,2000/11/30,上櫃,其他業,ESVUFR,
8930, 青鋼,股票 ,TW0008930009,2000/12/6,上櫃,鋼鐵工業,ESVUFR,
8931, 大汽電,股票 ,TW0008931007,2001/5/10,上櫃,油電燃氣業,ESVUFR,
8932, 宏大,股票 ,TW0008932005,2001/3/29,上櫃,其他業,ESVUFR,
8933, 愛地雅,股票 ,TW0008933003,2001/3/28,上櫃,其他業,ESVUFR,
8934, 衡平,股票 ,TW0008934001,2001/9/3,上櫃,其他業,ESVUFR,
8935, 邦泰,股票 ,TW0008935008,2002/3/26,上櫃,其他業,ESVUFR,
8936, 國統,股票 ,TW0008936006,2002/9/9,上櫃,其他業,ESVUFR,
8937, 合騏,股票 ,TW0008937004,2002/10/29,上櫃,其他業,ESVUFR,
8938, 明安,股票 ,TW0008938002,2002/12/2,上櫃,其他業,ESVUFR,
8941, 關中,股票 ,TW0008941006,2003/1/20,上櫃,貿易百貨業,ESVUFR,
8942, 森鉅,股票 ,TW0008942004,2003/5/16,上櫃,其他業,ESVUFR,
9949, 琉園,股票 ,TW0009949008,2003/11/21,上櫃,其他業,ESVUFR,
9950, 萬國通,股票 ,TW0009950006,2004/2/17,上櫃,塑膠工業,ESVUFR,
9951, 皇田,股票 ,TW0009951004,2003/12/18,上櫃,電機機械,ESVUFR,
9960, 邁達康,股票 ,TW0009960005,2004/12/6,上櫃,貿易百貨業,ESVUFR,
9962, 有益,股票 ,TW0009962001,2006/7/10,上櫃,鋼鐵工業,ESVUFR,
911613, 特藝-DR,臺灣存託憑證 ,TW0009116137,2011/2/25,上櫃,,EDSDDR,
01014S, 93中信貸a,受益證券-資產基礎證券 ,TW00001014S3,2004/8/10,上櫃,,DAVUBR,
01015S, 93中信貸b,受益證券-資產基礎證券 ,TW00001015S0,2004/8/10,上櫃,,DAVUBR,
01016S, 93中信貸c,受益證券-資產基礎證券 ,TW00001016S8,2004/8/10,上櫃,,DAVUBR,
01017S, 93中信貸d,受益證券-資產基礎證券 ,TW00001017S6,2004/8/10,上櫃,,DAVUBR,
01102S, 971標準B,受益證券-資產基礎證券 ,TW00001102S6,2008/1/9,上櫃,,DAVUGR,
01103S, 991中租賃A,受益證券-資產基礎證券 ,TW00001103S4,2010/8/13,上櫃,,DAFUBR,
01104S, 991中租賃B,受益證券-資產基礎證券 ,TW00001104S2,2010/8/13,上櫃,,DAFUBR,
01106S, 001中租賃B,受益證券-資產基礎證券 ,TW00001106S7,2011/11/24,上櫃,,DAFUBR,
01107S, 031中租賃A,受益證券-資產基礎證券 ,TW00001107S5,2014/7/24,上櫃,,DAFUBR,
01108S, 031中租賃B,受益證券-資產基礎證券 ,TW00001108S3,2014/7/24,上櫃,,DAFUBR,
01109S, 051中租賃A,受益證券-資產基礎證券 ,TW00001109S1,2016/8/24,上櫃,,DAFUBR,
01110S, 051中租賃B,受益證券-資產基礎證券 ,TW00001110S9,2016/8/24,上櫃,,DAFUBR,
