有價證券代號及名稱,類別,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
3297, 杭特,股票 ,TW0003297008,2005/6/7,上櫃,光電業,ESVUFR,
3299, 帛漢,股票 ,TW0003299004,2005/7/29,上櫃,通信網路業,ESVUFR,
3303, 岱稜,股票 ,TW0003303004,2007/5/28,上櫃,化學工業,ESVUFR,
3306, 鼎天,股票 ,TW0003306007,2005/7/5,上櫃,通信網路業,ESVUFR,
3310, 佳穎,股票 ,TW0003310009,2008/6/27,上櫃,電子零組件業,ESVUFR,
3313, 斐成,股票 ,TW0003313003,2006/5/29,上櫃,電子零組件業,ESVUFR,
3317, 尼克森,股票 ,TW0003317004,2007/8/9,上櫃,半導體業,ESVUFR,
3322, 建舜電,股票 ,TW0003322004,2009/5/20,上櫃,電子零組件業,ESVUFR,
3323, 加百裕,股票 ,TW0003323002,2007/6/25,上櫃,電腦及週邊設備業,ESVUFR,
3324, 雙鴻,股票 ,TW0003324000,2005/5/13,上櫃,其他電子業,ESVUFR,
3325, 旭品,股票 ,TW0003325007,2005/8/15,上櫃,電腦及週邊設備業,ESVUFR,
3332, 幸康,股票 ,TW0003332003,2008/1/24,上櫃,電子零組件業,ESVUFR,
3339, 泰谷,股票 ,TW0003339008,2006/6/27,上櫃,光電業,ESVUFR,
3354, 律勝,股票 ,TW0003354007,2005/12/8,上櫃,電子零組件業,ESVUFR,
3360, 尚立,股票 ,TW0003360004,2006/6/6,上櫃,電子通路業,ESVUFR,
3362, 先進光,股票 ,TW0003362000,2005/9/6,上櫃,光電業,ESVUFR,
3363, 上詮,股票 ,TW0003363008,2011/2/25,上櫃,通信網路業,ESVUFR,
3372, 典範,股票 ,TW0003372009,2005/12/16,上櫃,半導體業,ESVUFR,
3373, 熱映,股票 ,TW0003373007,2007/12/13,上櫃,其他電子業,ESVUFR,
3374, 精材,股票 ,TW0003374005,2015/3/30,上櫃,半導體業,ESVUFR,
3379, 彬台,股票 ,TW0003379004,2011/10/20,上櫃,電機機械,ESVUFR,
3388, 崇越電,股票 ,TW0003388005,2006/2/22,上櫃,電子零組件業,ESVUFR,
3390, 旭軟,股票 ,TW0003390001,2006/2/22,上櫃,電子零組件業,ESVUFR,
3402, 漢科,股票 ,TW0003402004,2007/1/9,上櫃,其他電子業,ESVUFR,
3426, 台興,股票 ,TW0003426003,2016/12/21,上櫃,電機機械,ESVUFR,
3428, 光燿科,股票 ,TW0003428009,2012/5/9,上櫃,光電業,ESVUFR,
3431, 長天,股票 ,TW0003431003,2006/7/19,上櫃,通信網路業,ESVUFR,
3434, 哲固,股票 ,TW0003434007,2008/1/28,上櫃,光電業,ESVUFR,
3438, 類比科,股票 ,TW0003438008,2006/7/19,上櫃,半導體業,ESVUFR,
3441, 聯一光,股票 ,TW0003441002,2010/10/4,上櫃,光電業,ESVUFR,
3444, 利機,股票 ,TW0003444006,2008/9/26,上櫃,電子通路業,ESVUFR,
3452, 益通,股票 ,TW0003452009,2006/3/8,上櫃,光電業,ESVUFR,
3455, 由田,股票 ,TW0003455002,2007/12/27,上櫃,光電業,ESVUFR,
3465, 祥業,股票 ,TW0003465001,2008/1/28,上櫃,電子零組件業,ESVUFR,
3466, 致振,股票 ,TW0003466009,2006/5/17,上櫃,通信網路業,ESVUFR,
3479, 安勤,股票 ,TW0003479002,2010/6/8,上櫃,電腦及週邊設備業,ESVUFR,
3483, 力致,股票 ,TW0003483004,2006/12/18,上櫃,電腦及週邊設備業,ESVUFR,
3484, 崧騰,股票 ,TW0003484002,2007/11/9,上櫃,電子零組件業,ESVUFR,
3489, 森寶,股票 ,TW0003489001,2007/9/29,上櫃,建材營造業,ESVUFR,
3490, 單井,股票 ,TW0003490009,2007/10/15,上櫃,光電業,ESVUFR,
3491, 昇達科,股票 ,TW0003491007,2008/1/3,上櫃,通信網路業,ESVUFR,
3492, 長盛,股票 ,TW0003492005,2015/5/18,上櫃,電子零組件業,ESVUFR,
3498, 陽程,股票 ,TW0003498002,2007/9/11,上櫃,其他電子業,ESVUFR,
3499, 環天科,股票 ,TW0003499000,2006/10/19,上櫃,通信網路業,ESVUFR,
3508, 位速,股票 ,TW0003508008,2007/10/17,上櫃,其他電子業,ESVUFR,
3511, 矽瑪,股票 ,TW0003511002,2009/2/16,上櫃,電子零組件業,ESVUFR,
3512, 能緹,股票 ,TW0003512000,2007/7/25,上櫃,電子零組件業,ESVUFR,
3516, 亞帝歐,股票 ,TW0003516001,2007/11/29,上櫃,光電業,ESVUFR,
3520, 振維,股票 ,TW0003520003,2007/10/12,上櫃,電子零組件業,ESVUFR,
3521, 鴻翊,股票 ,TW0003521001,2007/8/7,上櫃,電腦及週邊設備業,ESVUFR,
3522, 宏森,股票 ,TW0003522009,2007/10/15,上櫃,光電業,ESVUFR,
3523, 迎輝,股票 ,TW0003523007,2007/11/16,上櫃,光電業,ESVUFR,
